Record Length,2500,Points,116.0000025E-9,39.99999911E-3,,Record Length,2500,Points,116.0000025E-9,399.99997616E-3,,Record Length,2500,Points,116.0000025E-9,16.3999996,
Sample Interval,400.00000370E-12,s,116.4000025E-9,39.99999911E-3,,Sample Interval,400.00000370E-12,s,116.4000025E-9,399.99997616E-3,,Sample Interval,400.00000370E-12,s,116.4000025E-9,16.3999996,
Trigger Point,-290.00000236,Samples,116.8000026E-9,39.99999911E-3,,Trigger Point,-290.00000236,Samples,116.8000026E-9,439.999997616E-3,,Trigger Point,-290.00000236,Samples,116.8000026E-9,16.3999996,
,,,117.2000026E-9,39.99999911E-3,,,,,117.2000026E-9,479.999989271E-3,,,,,117.2000026E-9,16.3999996,
,,,117.6000026E-9,39.99999911E-3,,,,,117.6000026E-9,479.999989271E-3,,,,,117.6000026E-9,16.8000011,
,,,118.0000027E-9,39.99999911E-3,,,,,118.0000027E-9,479.999989271E-3,,,,,118.0000027E-9,16.8000011,
Source,CH1,,118.4000027E-9,0.0,,Source,CH2,,118.4000027E-9,439.999997616E-3,,Source,MATH,,118.4000027E-9,16.8000011,
Vertical Units,Volts,,118.8000027E-9,0.0,,Vertical Units,Volts,,118.8000027E-9,399.99997616E-3,,Vertical Units,Volts,,118.8000027E-9,16.8000011,
Vertical Scale,999.999977648E-3,,119.2000028E-9,0.0,,Vertical Scale,999.999977648E-3,,119.2000028E-9,399.99997616E-3,,Vertical Scale,10.0000001,,119.2000028E-9,16.8000011,
Vertical Offset,0,,119.6000028E-9,0.0,,Vertical Offset,0,,119.6000028E-9,399.99997616E-3,,Vertical Offset,0,,119.6000028E-9,16.3999996,
Horizontal Units,s,,119.9999957E-9,39.99999911E-3,,Horizontal Units,s,,119.9999957E-9,439.999997616E-3,,Horizontal Units,s,,119.9999957E-9,16.3999996,
Horizontal Scale,100.0000013E-9,,120.4000029E-9,39.99999911E-3,,Horizontal Scale,100.0000013E-9,,120.4000029E-9,439.999997616E-3,,Horizontal Scale,100.0000013E-9,,120.4000029E-9,16.3999996,
Pt Fmt,Y,,120.7999958E-9,39.99999911E-3,,Pt Fmt,Y,,120.7999958E-9,479.999989271E-3,,Pt Fmt,Y,,120.7999958E-9,16.3999996,
Yzero,-1.7200000,,121.2000029E-9,0.0,,Yzero,-1.5600000,,121.2000029E-9,439.999997616E-3,,Yzero,0.0,,121.2000029E-9,16.3999996,
Probe Atten,1.000000,,121.5999959E-9,0.0,,Probe Atten,1.000000,,121.5999959E-9,399.99997616E-3,,,,,121.5999959E-9,16.8000011,
,,,122.0000030E-9,0.0,,,,,122.0000030E-9,399.99997616E-3,,,,,122.0000030E-9,16.8000011,
Note,TBS 1104 - 2:32:25 PM   2/5/2026,,122.3999959E-9,-39.99999911E-3,,Note,TBS 1104 - 2:32:25 PM   2/5/2026,,122.3999959E-9,399.99997616E-3,,Note,TBS 1104 - 2:32:25 PM   2/5/2026,,122.3999959E-9,16.8000011,
,,,122.8000031E-9,-39.99999911E-3,,,,,122.8000031E-9,399.99997616E-3,,,,,122.8000031E-9,16.3999996,
,,,123.1999960E-9,0.0,,,,,123.1999960E-9,439.999997616E-3,,,,,123.1999960E-9,16.3999996,
,,,123.6000031E-9,39.99999911E-3,,,,,123.6000031E-9,439.999997616E-3,,,,,123.6000031E-9,16.8000011,
,,,123.9999960E-9,79.999998212E-3,,,,,123.9999960E-9,439.999997616E-3,,,,,123.9999960E-9,17.2000008,
,,,124.4000032E-9,79.999998212E-3,,,,,124.4000032E-9,399.99997616E-3,,,,,124.4000032E-9,17.2000008,
,,,124.7999961E-9,79.999998212E-3,,,,,124.7999961E-9,399.99997616E-3,,,,,124.7999961E-9,17.2000008,
,,,125.2000033E-9,39.99999911E-3,,,,,125.2000033E-9,359.99998450E-3,,,,,125.2000033E-9,17.2000008,
,,,125.5999962E-9,39.99999911E-3,,,,,125.5999962E-9,359.99998450E-3,,,,,125.5999962E-9,17.2000008,
,,,126.0000033E-9,39.99999911E-3,,,,,126.0000033E-9,359.99998450E-3,,,,,126.0000033E-9,16.8000011,
,,,126.3999962E-9,0.0,,,,,126.3999962E-9,359.99998450E-3,,,,,126.3999962E-9,17.2000008,
,,,126.8000034E-9,39.99999911E-3,,,,,126.8000034E-9,399.99997616E-3,,,,,126.8000034E-9,17.2000008,
,,,127.1999963E-9,39.99999911E-3,,,,,127.1999963E-9,439.999997616E-3,,,,,127.1999963E-9,17.2000008,
,,,127.6000035E-9,39.99999911E-3,,,,,127.6000035E-9,479.999989271E-3,,,,,127.6000035E-9,17.2000008,
,,,127.9999964E-9,79.999998212E-3,,,,,127.9999964E-9,479.999989271E-3,,,,,127.9999964E-9,17.2000008,
,,,128.4000035E-9,39.99999911E-3,,,,,128.4000035E-9,439.999997616E-3,,,,,128.4000035E-9,17.2000008,
,,,128.7999964E-9,39.99999911E-3,,,,,128.7999964E-9,399.99997616E-3,,,,,128.7999964E-9,17.2000008,
,,,129.2000036E-9,0.0,,,,,129.2000036E-9,359.99998450E-3,,,,,129.2000036E-9,16.8000011,
,,,129.5999965E-9,0.0,,,,,129.5999965E-9,359.99998450E-3,,,,,129.5999965E-9,16.8000011,
,,,130.0000037E-9,0.0,,,,,130.0000037E-9,359.99998450E-3,,,,,130.0000037E-9,16.8000011,
,,,130.3999966E-9,0.0,,,,,130.3999966E-9,359.99998450E-3,,,,,130.3999966E-9,17.2000008,
,,,130.8000037E-9,39.99999911E-3,,,,,130.8000037E-9,399.99997616E-3,,,,,130.8000037E-9,17.2000008,
,,,131.1999966E-9,79.999998212E-3,,,,,131.1999966E-9,439.999997616E-3,,,,,131.1999966E-9,17.2000008,
,,,131.6000038E-9,39.99999911E-3,,,,,131.6000038E-9,479.999989271E-3,,,,,131.6000038E-9,17.2000008,
,,,131.9999967E-9,39.99999911E-3,,,,,131.9999967E-9,479.999989271E-3,,,,,131.9999967E-9,17.2000008,
,,,132.4000038E-9,0.0,,,,,132.4000038E-9,439.999997616E-3,,,,,132.4000038E-9,17.2000008,
,,,132.7999968E-9,39.99999911E-3,,,,,132.7999968E-9,399.99997616E-3,,,,,132.7999968E-9,17.2000008,
